Date,Open,High,Low,Close,Adj Close,Volume
2017-07-19,3230.979980,3230.979980,3230.979980,3230.979980,3230.979980,0
2017-07-20,3244.860107,3244.860107,3244.860107,3244.860107,3244.860107,0
2017-07-21,null,null,null,null,null,null
2017-07-24,3250.600098,3250.600098,3250.600098,3250.600098,3250.600098,0
2017-07-25,null,null,null,null,null,null
2017-07-26,null,null,null,null,null,null
2017-07-27,null,null,null,null,null,null
2017-07-28,null,null,null,null,null,null
2017-07-31,null,null,null,null,null,null
2017-08-01,3292.639893,3292.639893,3292.639893,3292.639893,3292.639893,0
2017-08-02,null,null,null,null,null,null
2017-08-03,null,null,null,null,null,null
2017-08-04,3262.080078,3262.080078,3262.080078,3262.080078,3262.080078,0
2017-08-07,null,null,null,null,null,null
2017-08-08,3281.870117,3281.870117,3281.870117,3281.870117,3281.870117,0
2017-08-09,3275.570068,3275.570068,3275.570068,3275.570068,3275.570068,0
2017-08-10,3261.750000,3261.750000,3261.750000,3261.750000,3261.750000,0
2017-08-11,3208.540039,3208.540039,3208.540039,3208.540039,3208.540039,0
2017-08-14,null,null,null,null,null,null
2017-08-15,3251.260010,3251.260010,3251.260010,3251.260010,3251.260010,0
2017-08-16,3246.449951,3246.449951,3246.449951,3246.449951,3246.449951,0
2017-08-17,3268.429932,3268.429932,3268.429932,3268.429932,3268.429932,0
2017-08-18,3253.243408,3275.076416,3248.083252,3268.724365,3268.724365,1932379116
